content,style,output,status
beach.png,Composition_VIII_Kandinsky.png,,missing
beach.png,Guernica_Picasso.png,,missing
beach.png,Starry_Night_Van_Gogh.jpg,,missing
beach.png,The_Scream_Munch.png,,missing
beach.png,Water_Lilies_Monet.png,,missing
bridge.png,Composition_VIII_Kandinsky.png,,missing
bridge.png,Guernica_Picasso.png,,missing
bridge.png,Starry_Night_Van_Gogh.jpg,,missing
bridge.png,The_Scream_Munch.png,,missing
bridge.png,Water_Lilies_Monet.png,,missing
castle.png,Composition_VIII_Kandinsky.png,,missing
castle.png,Guernica_Picasso.png,,missing
castle.png,Starry_Night_Van_Gogh.jpg,,missing
castle.png,The_Scream_Munch.png,,missing
castle.png,Water_Lilies_Monet.png,,missing
cat.png,Composition_VIII_Kandinsky.png,,missing
cat.png,Guernica_Picasso.png,,missing
cat.png,Starry_Night_Van_Gogh.jpg,,missing
cat.png,The_Scream_Munch.png,,missing
cat.png,Water_Lilies_Monet.png,,missing
city_skyline.png,Composition_VIII_Kandinsky.png,,missing
city_skyline.png,Guernica_Picasso.png,,missing
city_skyline.png,Starry_Night_Van_Gogh.jpg,,missing
city_skyline.png,The_Scream_Munch.png,,missing
city_skyline.png,Water_Lilies_Monet.png,,missing
